Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;Present residence since;Property;Age in years;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Telephone;foreign worker;Flag
... < 0 DM;10.0;critical account/ other credits existing (not at this bank);furniture/equipment;2132.0;unknown/ no savings account;... < 1 year;2.0;female : divorced/separated/married;co-applicant;3.0;real estate;27.0;none;rent;2.0;skilled employee / official;1.0;none;no;0
... < 0 DM;33.0;critical account/ other credits existing (not at this bank);furniture/equipment;4281.0;500 <= ... < 1000 DM;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;4.0;car or other;23.0;none;own;2.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;12.0;critical account/ other credits existing (not at this bank);car (new);2366.0;500 <= ... < 1000 DM;4 <= ... < 7 years;3.0;male : divorced/separated;none;3.0;car or other;36.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;21.0;existing credits paid back duly till now;radio/television;1835.0;... < 100 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;2.0;real estate;25.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;24.0;critical account/ other credits existing (not at this bank);car (used);3868.0;... < 100 DM;.. >= 7 years;4.0;female : divorced/separated/married;none;2.0;car or other;41.0;none;rent;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;existing credits paid back duly till now;furniture/equipment;1768.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;2.0;real estate;24.0;none;rent;1.0;unskilled - resident;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;10.0;critical account/ other credits existing (not at this bank);car (new);781.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;63.0;none;for free;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;furniture/equipment;1924.0;unknown/ no savings account;... < 1 year;4.0;female : divorced/separated/married;none;3.0;real estate;27.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;12.0;critical account/ other credits existing (not at this bank);car (new);2121.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0; building society savings agreement/ life insurance;30.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;radio/television;701.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;none;2.0;real estate;40.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;repairs;639.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;car or other;30.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;12.0;critical account/ other credits existing (not at this bank);car (used);1860.0;... < 100 DM;unemployed;4.0;male : single;none;2.0;car or other;34.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;12.0;critical account/ other credits existing (not at this bank);car (new);3499.0;... < 100 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;co-applicant;2.0;real estate;29.0;none;own;2.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;48.0;existing credits paid back duly till now;car (new);8487.0;unknown/ no savings account;4 <= ... < 7 years;1.0;female : divorced/separated/married;none;2.0;car or other;24.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;36.0;delay in paying off in the past;education;6887.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;3.0; building society savings agreement/ life insurance;29.0;stores;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;15.0;existing credits paid back duly till now;furniture/equipment;2708.0;... < 100 DM;... < 1 year;2.0;male : single;none;3.0; building society savings agreement/ life insurance;27.0;bank;own;2.0;unskilled - resident;1.0;none;yes;0
no checking account;18.0;existing credits paid back duly till now;furniture/equipment;1984.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;unknown / no property;47.0;bank;for free;2.0;skilled employee / official;1.0;none;yes;0
no checking account;60.0;existing credits paid back duly till now;radio/television;10144.0;100 <= ... < 500 DM;4 <= ... < 7 years;2.0;female : divorced/separated/married;none;4.0;real estate;21.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);radio/television;1240.0;unknown/ no savings account;.. >= 7 years;4.0;female : divorced/separated/married;none;2.0;real estate;38.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;27.0;delay in paying off in the past;car (used);8613.0;.. >= 1000 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;27.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;radio/television;766.0;500 <= ... < 1000 DM;1 <= ... < 4 years;4.0;male : single;none;3.0;real estate;66.0;none;own;1.0;unskilled - resident;1.0;none;yes;1
0 <= ... < 200 DM;15.0;critical account/ other credits existing (not at this bank);radio/television;2728.0;unknown/ no savings account;4 <= ... < 7 years;4.0;male : single;guarantor;2.0;real estate;35.0;bank;own;3.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;12.0;existing credits paid back duly till now;radio/television;1881.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;2.0;car or other;44.0;none;rent;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;6.0;existing credits paid back duly till now;car (new);709.0;.. >= 1000 DM;... < 1 year;2.0;male : married/widowed;none;2.0;real estate;27.0;none;own;1.0;unemployed/ unskilled - non-resident;1.0;none;no;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;radio/television;4795.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;1.0;unknown / no property;30.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;27.0;existing credits paid back duly till now;radio/television;3416.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;2.0;car or other;27.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;furniture/equipment;2462.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;22.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;21.0;critical account/ other credits existing (not at this bank);furniture/equipment;2288.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;23.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;48.0;all credits at this bank paid back duly;business;3566.0;100 <= ... < 500 DM;4 <= ... < 7 years;4.0;male : single;none;2.0;car or other;30.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;6.0;critical account/ other credits existing (not at this bank);car (new);860.0;... < 100 DM;.. >= 7 years;1.0;female : divorced/separated/married;none;4.0;unknown / no property;39.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);car (new);682.0;100 <= ... < 500 DM;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;3.0;car or other;51.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;36.0;critical account/ other credits existing (not at this bank);furniture/equipment;5371.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;guarantor;2.0; building society savings agreement/ life insurance;28.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);radio/television;1582.0;.. >= 1000 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;46.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;6.0;existing credits paid back duly till now;radio/television;1346.0;100 <= ... < 500 DM;.. >= 7 years;2.0;male : single;none;4.0;unknown / no property;42.0;bank;for free;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
no checking account;10.0;existing credits paid back duly till now;radio/television;1924.0;... < 100 DM;1 <= ... < 4 years;1.0;male : single;none;4.0; building society savings agreement/ life insurance;38.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;no;0
... >= 200 DM / salary assignments for at least 1 year;36.0;existing credits paid back duly till now;radio/television;5848.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;1.0;car or other;24.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;24.0;critical account/ other credits existing (not at this bank);car (used);7758.0;.. >= 1000 DM;.. >= 7 years;2.0;female : divorced/separated/married;none;4.0;unknown / no property;29.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;24.0;delay in paying off in the past;business;6967.0;100 <= ... < 500 DM;4 <= ... < 7 years;4.0;male : single;none;4.0;car or other;36.0;none;rent;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;furniture/equipment;1282.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;4.0;car or other;20.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;9.0;critical account/ other credits existing (not at this bank);repairs;1288.0;100 <= ... < 500 DM;.. >= 7 years;3.0;male : single;guarantor;4.0;real estate;48.0;none;own;2.0;skilled employee / official;2.0;none;no;0
... < 0 DM;12.0;all credits at this bank paid back duly;retraining;339.0;... < 100 DM;.. >= 7 years;4.0;male : married/widowed;none;1.0;car or other;45.0;bank;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;24.0;existing credits paid back duly till now;car (new);3512.0;100 <= ... < 500 DM;4 <= ... < 7 years;2.0;male : single;none;3.0;car or other;38.0;bank;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;6.0;critical account/ other credits existing (not at this bank);radio/television;1898.0;unknown/ no savings account;1 <= ... < 4 years;1.0;male : single;none;2.0;real estate;34.0;none;own;2.0;unskilled - resident;2.0;none;yes;0
no checking account;24.0;critical account/ other credits existing (not at this bank);radio/television;2872.0;100 <= ... < 500 DM;.. >= 7 years;3.0;male : single;none;4.0;real estate;36.0;none;own;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);car (new);1055.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;1.0; building society savings agreement/ life insurance;30.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;15.0;existing credits paid back duly till now;domestic appliances;1262.0;500 <= ... < 1000 DM;4 <= ... < 7 years;4.0;male : single;none;3.0; building society savings agreement/ life insurance;36.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;10.0;existing credits paid back duly till now;car (new);7308.0;... < 100 DM;unemployed;2.0;male : single;none;4.0;unknown / no property;70.0;bank;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;36.0;existing credits paid back duly till now;car (new);909.0;500 <= ... < 1000 DM;.. >= 7 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;36.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;6.0;existing credits paid back duly till now;furniture/equipment;2978.0;500 <= ... < 1000 DM;1 <= ... < 4 years;1.0;male : single;none;2.0;car or other;32.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;furniture/equipment;1131.0;... < 100 DM;unemployed;4.0;female : divorced/separated/married;none;2.0;car or other;33.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;11.0;existing credits paid back duly till now;furniture/equipment;1577.0;.. >= 1000 DM;... < 1 year;4.0;female : divorced/separated/married;none;1.0;real estate;20.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;existing credits paid back duly till now;furniture/equipment;3972.0;... < 100 DM;4 <= ... < 7 years;2.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;25.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
